Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
abrdn-Japan Sustainable Eqty A Acc JPY,JPY,"The Fund’s investment objective is long term total return to be achieved by investing at least 90% of the Fund’s assets in equities and equity-related securities of companies listed, incorporated or domiciled in Japan or companies that derive a significant proportion of their revenues or profits from Japanese operations or have a significant proportion of their assets there. The Fund is actively managed. The Fund aims to outperform the MSCI Japan Index (JPY) benchmark before charges. The benchmark is also used as a reference point for portfolio construction and as a basis for setting risk constraints, but does not incorporate any sustainable criteria.",3 stars,4 / 7,8,172,"1,67%",Tyyli,kasvuosakkeet,
Swedbank Robur Asienfond A,SEK,"Roburs Asienfonden on osakerahasto, joka sijoittaa pääasiallisesti Hong Kongissa, Taiwanissa, Koreassa ja Singaporessa (ei Japanissa) noteerattuihin pörssiosakkeisiin. Rahasto ei sijoita Intiaan ja Australiaan.",4 stars,4 / 7,8,1402,"1,43%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
BNP Paribas Japan Eq Cl Cap,JPY,Parvest Japan pyrkii kasvattamaan varallisuuttaan keskipitkällä aikavälillä sijoittamalla lähinnä japanilaisyritysten osakkeisiin ja osakesidonnaisiin arvopapereihin.,3 stars,4 / 7,8,27,"1,98%",Maantiede,Kehittyneet maat – suuret yhtiöt,Japani suuret yhdistelmäosakkeet
SKAGEN Kon-Tiki A,NOK,"SKAGEN Kon-Tiki invests at least 50 % of the fund’s assets in emerging markets, meaning countries or markets that are not included in the MSCI Developed Market Series. The fund’s aim is to find high quality companies at a low price, which are characterised by being undervalued, under-researched and unpopular. To reduce risk, the fund seeks to maintain a sensible geographical and sector balance.",3 stars,4 / 7,8,1839,"2,00%",Maantiede,Kehittyvät maat,Kehittyvät maat
Vontobel mtx Em Mkts Ldrs B USD,USD,The Sub-Fund aims to generate long-term capital growth and seeks to promote environmental or social characteristics by employing a number of safeguards and evaluating all equity investments against sustainability criteria with hard thresholds required to be met for inclusion.,3 stars,4 / 7,8,2155,"2,03%",Maantiede,Kehittyvät maat,Kehittyvät maat
PineBridge Greater China Equity A,USD,"The Sub-Fund seeks to provide long-term capital growth by investing in equity and equity-related securities of companies whose assets, products or operations are in the Greater China Region.",4 stars,5 / 7,6,56,"2,08%",Maantiede,Kehittyvät maat,Suur-Kiina
HSBC GIF Brazil Equity AD,USD,"The sub-fund aims to provide long term total return by investing in a portfolio of Brazilian equities. The sub-fund invests in normal market conditions a minimum of 90% of its net assets in equities and equity equivalent securities of companies which are domiciled in, based in, or carry out the larger part of their business activities in Brazil. The sub-fund may also invest in eligible closed-ended Real Estate Investment Trusts (“REITs”). The sub-fund normally invests across a range of market capitalisations without any capitalisation restriction. The sub-fund will not invest more than 10% of its net assets in a combination of participation notes and convertible securities. The sub-fund will not invest more than 10% of its net assets in REITs. The sub-fund may invest up to 10% of its net assets in units or shares of UCITS and/or other Eligible UCIs (including other sub-funds of HSBC Global Investment Funds).",2 stars,6 / 7,6,417,"2,15%",Maantiede,Kehittyvät maat,Brasilia
BGF Latin American A2,USD,"Latin American Fund -rahaston tavoitteena on maksimoida Yhdysvaltain dollareissa esitetty pääoman arvonnousu sijoittamalla pääasiassa Latinalaisen Amerikan osakkeisiin ja velkainstrumentteihin. Rahasto aikoo painottaa sijoituksia Argentiinan, Brasilian, Chilen, Meksikon ja Venezuelan osakkeisiin ja velkainstrumentteihin, mutta sillä ei ole velvoitteita hajauttaa sijoituksiaan minkään Latinalaisen Amerikan markkinoiden välillä. Rahaston sijoitustavoitteiden vuoksi Latinalaiseen Amerikkaan katsotaan kuuluvaksi Meksiko, Keski-Amerikka, Etelä-Amerikka ja Karibianmeren espanjankieliset saaret, Puerto Rico mukaan luettuna. Arvopaperia pidetään yleensä latinalaisamerikkalaisena, jos sen liikkeeseenlaskija toimii Latinalaisessa Amerikassa tai jos sen kaupankäynnin tai liiketoiminnan ensisijaiset markkinat sijaitsevat Latinalaisessa Amerikassa.",2 stars,5 / 7,6,310,"2,08%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
JPM Emerging Markets Equity A (acc) USD,USD,"Rahasto sijoittaa varansa pääasiassa sellaisissa maissa noteerattuihin pörssiosakkeisiin, jotka Maailmanpankki on luokitellut matala- ja keskituloisiksi.",2 stars,4 / 7,8,762,"1,71%",Maantiede,Kehittyvät maat,Kehittyvät maat
BGF Latin American A2,EUR,"Latin American Fund -rahaston tavoitteena on maksimoida Yhdysvaltain dollareissa esitetty pääoman arvonnousu sijoittamalla pääasiassa Latinalaisen Amerikan osakkeisiin ja velkainstrumentteihin. Rahasto aikoo painottaa sijoituksia Argentiinan, Brasilian, Chilen, Meksikon ja Venezuelan osakkeisiin ja velkainstrumentteihin, mutta sillä ei ole velvoitteita hajauttaa sijoituksiaan minkään Latinalaisen Amerikan markkinoiden välillä. Rahaston sijoitustavoitteiden vuoksi Latinalaiseen Amerikkaan katsotaan kuuluvaksi Meksiko, Keski-Amerikka, Etelä-Amerikka ja Karibianmeren espanjankieliset saaret, Puerto Rico mukaan luettuna. Arvopaperia pidetään yleensä latinalaisamerikkalaisena, jos sen liikkeeseenlaskija toimii Latinalaisessa Amerikassa tai jos sen kaupankäynnin tai liiketoiminnan ensisijaiset markkinat sijaitsevat Latinalaisessa Amerikassa.",2 stars,5 / 7,6,17,"2,08%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
S-Pankki Fenno Osake A,EUR,"Rahaston varat sijoitetaan pääasiassa suomalaisten yhtiöiden tai sellaisten yhtiöiden, joille Suomi on rahastoyhtiön arvion mukaan keskeinen markkina-alue, osakkeisiin ja osakesidonnaisiin arvopapereihin. Rahaston sijoitustoiminnan tavoitteena on aktiivisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä pitkän aikavälin tuotto, joka ylittää vertailuindeksin tuoton.",3 stars,4 / 7,8,190,"1,60%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
SEB Estn Eurp S&M Cap ex. Russia C,EUR,"Rahasto sijoittaa Itäeurooppa-alueella, fokuksena pienet ja keskisuuretyritykset. Sijoituksia voidaan tehdä rahastossa Itä-Euroopan, Baltian ja entisen Neuvostoliiton alueen osakemarkkinoille.",0 stars,6 / 7,8,767,"1,82%",Maantiede,Euroalue ja Eurooppa erityisryhmät,Kehittyvä Eurooppa ei-Venäjä
Templeton European Insights A acc USD,USD,"Rahasto sijoittaa ensisijaisesti minkä tahansa EMUmaassa sijaitsevien liikkeeseenlaskijoiden, kuten valtioiden ja yritysten osakesidonnaisiin arvopapereihin tai velkasitoumuksiin, jotka voivat olla joko euroissa tai kyseisessä kansallisessa valuutassa, samoin kuin minkä tahansa liikkeeseenlaskijan euroissa oleviin osakkeisiin tai velkasitoumuksiin. Varmistaakseen kelpoisuutensa French Plan d’Epargne en Actions (PEA) -ohjelmaan, rahasto sijoittaa vähintään 75 % kokonaisarvostaan sellaisten yhtiöiden osakesidonnaisiin arvopapereihin, joiden pääkonttori on Euroopan unionissa.",4 stars,4 / 7,8,34,"1,84%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret yhtiöt sekatyyli
Templeton European Insights A acc EUR,EUR,"Rahasto sijoittaa ensisijaisesti minkä tahansa EMUmaassa sijaitsevien liikkeeseenlaskijoiden, kuten valtioiden ja yritysten osakesidonnaisiin arvopapereihin tai velkasitoumuksiin, jotka voivat olla joko euroissa tai kyseisessä kansallisessa valuutassa, samoin kuin minkä tahansa liikkeeseenlaskijan euroissa oleviin osakkeisiin tai velkasitoumuksiin. Varmistaakseen kelpoisuutensa French Plan d’Epargne en Actions (PEA) -ohjelmaan, rahasto sijoittaa vähintään 75 % kokonaisarvostaan sellaisten yhtiöiden osakesidonnaisiin arvopapereihin, joiden pääkonttori on Euroopan unionissa.",3 stars,4 / 7,8,223,"1,87%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret yhtiöt sekatyyli
Robeco Smart Energy D-EUR Cap,EUR,"The Sub-fund has as its sustainable investment objective to further the transformation and decarbonization of the global energy sector through investments in clean energy production sources, energy efficient products and infrastructure as well as technologies supporting the electrification of the industrial, transportation and heating sectors. The foregoing is implemented by mainly investing in companies that advance the following United Nations Sustainable Development Goals (UN SDGs): Affordable and clean energy goal (SDG 7), Decent work and economic growth (SDG 8), Industry, innovation and infrastructure (SDG 9), Sustainable cities and communities (SDG 11) and Climate action (SDG 13). In addition to pursuing the sustainable investment objective, the Sub-fund at the same time aims to provide long term capital growth.",5 stars,5 / 7,9,1043,"1,72%",Sektori,Uusiutuva energia,
BNP Paribas Brazil Equity C C,USD,The investment objective of the fund is to increase the value of its assets over the medium term by investing primarily in Brazilian equities.,2 stars,5 / 7,8,190,"2,23%",Maantiede,Kehittyvät maat,Brasilia
SEB Emerging Markets C USD,USD,"This Sub-Fund is focused on emerging markets. The portfolio of this Sub-Fund will mainly include equities and equity related transferable securities issued by companies in emerging markets globally, without being restricted to a specific industrial sector. The Sub-Fund may as well invest in equities and equity related transferable securities issued by companies which carry out a preponderant part of their business or sales activity in emerging markets.",3 stars,4 / 7,8,183,"1,58%",Maantiede,Kehittyvät maat,Kehittyvät maat
SEB Emerging Marketsfond,SEK,-,3 stars,4 / 7,8,390,"1,51%",Maantiede,Kehittyvät maat,Kehittyvät maat
Swedbank Robur New Energy A,SEK,"New Energy on aktiivisesti hallinnoitu osakerahasto, joka sijoittaa pääasiassa maailmanlaajuisesti eri alojen pieniin ja suuriin yrityksiin ja jonka teemana on kestävä energiantuotanto. Rahasto sijoittaa yrityksiin, jotka tuotteidensa, palvelujensa tai toimintansa ansiosta myötävaikuttavat Swedbank Roburin harkinnan mukaan tulevaisuuden energiantuotantoon ja energiajärjestelmiin. Rahastolla on pitkän aikavälin sijoitushorisontti ja aktiivinen sijoitusstrategia, joka keskittyy yritysten valintaan, jossa myös sektorin ja alueen analyysi ovat tärkeitä strategian osatekijöitä. Rahasto noudattaa Swedbank Roburin vastuullisen sijoittamisen politiikkaa ja välttää kupliin sijoittamista. Lue lisää rahaston avaintietoasiakirjasta ja sivustolta swedbankrobur.se. Kestävä kehitys ja ilmastoasiat ovat sijoitusstrategian olennaisia osia.",4 stars,4 / 7,8,910,"1,25%",Sektori,Uusiutuva energia,
DWS Invest ESG Emerg Mkts Top Div LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability - related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR The objective of the investment policy of the fund is to achieve an above average appreciation of capital in Euros. The sub-fund is actively managed and is not managed in reference to a benchmark. The sub-fund may acquire equities, interest-bearing securities, convertible bonds, warrant-linked bonds, warrants, dividend-right certificates, index certificates and financial instruments certificated in securities of well-established issuers based in Emerging Markets.",3 stars,4 / 7,8,60,"1,66%",Maantiede,Kehittyvät maat,Kehittyvät maat
Templeton China A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti sellaisten yritysten osakesidonnaisiin arvopapereihin, jotka (i) on perustettu Kiinan Kansantasavallan (jäljempänä Kiina), Hongkongin tai Taiwanin lakien mukaisesti tai joiden pääkonttorit ovat näissä maissa tai (ii) jotka saavat pääosan tuloistaan Kiinassa, Hongkongissa tai Taiwanissa myydyistä tai valmistetuista tuotteista tai palveluista tai joiden liikeomaisuus on pääasiassa näissä maissa. Rahasto voi myös sijoittaa sellaisten yritysten arvopapereihin, (i) joiden arvopapereiden pääasiallinen kauppapaikka on Kiinassa, Hongkongissa tai Taiwanissa tai (ii) joilla on sidoksia Kiinassa, Hongkongissa tai Taiwanissa oleviin varoihin tai valuuttoihin.",1 star,5 / 7,8,118,"2,46%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Aktia Capital B,EUR,"Rahasto on osakerahasto, joka sijoittaa varansa kotimaisiin osakkeisiin ja osakesidonnaisiin instrumentteihin. Sijoituksia tehdään pitkällä aikavälillä ja sijoituspäätökset perustuvat aina perusteellisiin analyyseihin yhtiöistä ja markkinoista. Painopiste on yrityksissä, joilla on johtava markkina-asema omalla alallaan, ja joilla on lisäarvoa tuottavaa erityisosaamista. Sijoituskohteiden valinnassa yhtiöiden arvostus on aina keskeinen valintakriteeri. Arvostuksen tulee olla kohtuullinen suhteessa yhtiön tuloksentekokykyyn, taseen vahvuuteen ja pidemmän aikavälin kasvunäkymiin.",3 stars,4 / 7,8,745,"1,85%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
Fidelity Emerging Asia A-Dis-EUR,EUR,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% (and normally 75%) of its assets, in equities of companies that are headquartered or do most of their business in less developed countries of Asia that are considered as emerging markets. The fund may also invest in money market instruments on an ancillary basis. The fund will invest less than 30% of its assets (directly and/or indirectly) in China A and B Shares (in aggregate). The fund will invest less than 5% of its assets in SPACs. In actively managing the fund, the Investment Manager considers growth and valuation metrics, company financials, return on capital, cash flows and other measures, as well as company management, industry, economic conditions, and other factors. The Investment Manager considers ESG characteristics when assessing investment risks and opportunities.",4 stars,4 / 7,8,126,"1,95%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
"JPM Mdl Est, Afr & Em Eurp Opps A Inc $",USD,"To provide long-term capital growth by investing primarily in companies of the Middle East, Africa and emerging markets of Europe. At least 67% of assets invested in equities of companies that are domiciled, or carrying out the main part of their economic activity, in the Middle East, Africa and emerging market countries of Europe.",0 stars,4 / 7,8,1005,"1,80%",Maantiede,Kehittyvät maat,Afrikka ja Lähi-itä
Handelsbanken Keh Mark Teema (A1 EUR),EUR,"Rahasto sijoittaa yrityksiin, jotka toimivat niin sanotuilla kehittyvillä markkinoilla (emerging markets) Aasiassa, Etelä-Amerikassa, Itä-Euroopassa ja Etelä-Afrikassa / Fonden placerar i bolag på s k tillväxtmarknader (emerging markets) i Asien, Latinamerika, Östeuropa och Sydafrika.",4 stars,4 / 7,8,1310,"1,60%",Maantiede,Kehittyvät maat,Kehittyvät maat
